Marsupiomonas_sp._NIES_1824	Chlorophyta	Pedinophyceae	-	Marsupiomonadales	Marsupiomonadaceae	KM462870	OUT
Pedinomonas_tuberculata	Chlorophyta	Pedinophyceae	-	Pedinomonadales	Pedinomonadaceae	KM462867	OUT
Pedinomonas_minor	Chlorophyta	Pedinophyceae	-	Pedinomonadales	Pedinomonadaceae	NC_016733	OUT
Dicloster_acuatus	Chlorophyta	Trebouxiophyceae	-	Chlorellales	Chlorellaceae	KM462885	OUT
Parachlorella_kessleri	Chlorophyta	Trebouxiophyceae	-	Chlorellales	Chlorellaceae	NC_012978	OUT
Pseudochloris_wilhelmii	Chlorophyta	Trebouxiophyceae	-	Chlorellales	Chlorellaceae	KM462886	OUT
Marvania_geminata	Chlorophyta	Trebouxiophyceae	-	Chlorellales	Chlorellaceae	KM462888	OUT
Chlorella_vulgaris	Chlorophyta	Trebouxiophyceae	-	Chlorellales	Chlorellaceae	NC_001865	OUT
Chlorella_variabilis	Chlorophyta	Trebouxiophyceae	-	Chlorellales	Chlorellaceae	NC_015359	OUT
Koliella_corcontica	Chlorophyta	Trebouxiophyceae	-	Prasiolales	Koliellaceae	KM462874	OUT
Geminella_terricola	Chlorophyta	Trebouxiophyceae	-	Chlorellales	Chlorellaceae	KM462881	OUT
Geminella_minor	Chlorophyta	Trebouxiophyceae	-	Chlorellales	Chlorellaceae	KM462883	OUT
Gloeotilopsis_sterilis	Chlorophyta	Ulvophyceae	-	Ulotrichales	Ulotrichaceae	KM462877	OUT
Planctonema_lauterbornii	Chlorophyta	Trebouxiophyceae	-	Chlorellales	Oocystaceae	KM462880	OUT
Neocystis_brevis	Chlorophyta	Chlorophyceae	-	Sphaeropleales	Radiococcaceae	KM462873	OUT
Stichococcus_bacillaris	Chlorophyta	Trebouxiophyceae	-	Prasiolales	Prasiolaceae	KM462864	OUT
Prasiolopsis_sp._SAG_84.81	Chlorophyta	Trebouxiophyceae	-	Prasiolales	Prasiolaceae	KM462862	OUT
Chlorella_mirabilis	Chlorophyta	Trebouxiophyceae	-	Chlorellales	Chlorellaceae	KM462865	OUT
Koliella_longiseta	Chlorophyta	Trebouxiophyceae	-	Prasiolales	Koliellaceae	KM462868	OUT
Pabia_signiensis	Chlorophyta	Trebouxiophyceae	-	Trebouxiales	Trebouxiaceae	KM462866	OUT
Parietochloris_pseudoalveolaris	Chlorophyta	Trebouxiophyceae	-	Trebouxiales	Trebouxiaceae	KM462869	OUT
Leptospira_terrestris	Chlorophyta	na	-	na	na	NC_009681	OUT
Xylochloris_irregularis	Chlorophyta	Trebouxiophyceae	-	na	na	KM462872	OUT
Microthamnion_kuetzingianum	Chlorophyta	Trebouxiophyceae	-	Microthamniales	Microthamniaceae	KM462876	OUT
Fusochloris_perforata	Chlorophyta	Trebouxiophyceae	-	Microthamniales	Microthamniaceae	KM462882	OUT
Myrmecia_israelensis	Chlorophyta	Trebouxiophyceae	-	Trebouxiales	Trebouxiaceae	KM462861	OUT
Lobosphaera_incisa	Chlorophyta	Trebouxiophyceae	-	Trebouxiales	Trebouxiaceae	KM462871	OUT
Dictyochloropsis_reticulata	Chlorophyta	Trebouxiophyceae	-	Trebouxiales	Trebouxiaceae	KM462860	OUT
Watanabea_reniformis	Chlorophyta	Trebouxiophyceae	-	Trebouxiales	Trebouxiaceae	KM462863	OUT
Choricystis_minor	Chlorophyta	Trebouxiophyceae	-	na	Coccomyxaceae	KM462878	OUT
